condition	reaction_id	flux	reduced_cost
bulk_max_n2	rxn02302	0.0	0.0
bulk_max_n2	rxn03194	0.043040943616982665	0.0
bulk_max_n2	rxn03436	0.04304094361698267	0.0
bulk_max_n2	rxn03435	-0.043040943616982665	-0.0
bulk_max_n2	rxn03437	0.04304094361698267	0.0
bulk_max_n2	rxn01575	-0.04304094361698268	-0.0
bulk_max_n2	rxn02185	-0.13888167539706114	-0.0
bulk_max_n2	rxn00011b	0.1819226190140438	0.0
bulk_max_n2	rxn02187	0.13888167539706117	0.0
bulk_max_n2	rxn03068	-0.13888167539706114	-0.0
bulk_max_n2	rxn00898	0.13888167539706114	0.0
bulk_max_n2	rxn00903	-0.057782982400772745	-0.0
bulk_max_n2	rxn00902	0.08109453031362167	0.0
bulk_max_n2	rxn02789	0.08109453031362167	0.0
bulk_max_n2	rxn02811	-0.08109453031362167	-0.0
bulk_max_n2	rxn03062	0.08109453031362167	0.0
bulk_max_n2	rxn01208	0.08109453031362165	0.0
bulk_max_n2	rxn00806	-0.08109453031362165	-0.0
bulk_max_n2	rxn06300	0.1380457648526159	0.0
bulk_max_n2	rxn06432	0.08418831106299884	0.0
bulk_max_n2	rxn06936	0.061007693907296406	0.0
bulk_max_n2	rxn06433	0.030330857273381768	0.0
bulk_max_n2	rxn11595	0.030330857273381775	0.0
bulk_max_n2	rxn06435	0.01072536017651903	0.0
bulk_max_n2	rxn06436	0.033329345064666664	0.0
bulk_max_n2	rxn10534	0.03332934506466666	0.0
bulk_max_n2	rxn06438	0.09722020030973699	0.0
bulk_max_n2	rxn06440	0.06296824361698267	0.0
bulk_max_n2	rxn06441	0.11705635031362166	0.0
bulk_max_n2	rxn06442	0.03678913866999538	0.0
bulk_max_n2	rxn06443	0.028024328203162623	0.0
bulk_max_n2	rxn06538	0.0034597936053287264	0.0
bulk_max_n2	rxn06444	0.04532329622980622	0.0
bulk_max_n2	rxn06445	0.05777855320898961	0.0
bulk_max_n2	rxn06446	0.06665869012933331	0.0
bulk_max_n2	rxn06447	0.05916247065112109	0.0
bulk_max_n2	rxn06448	0.01591505058451211	0.0
bulk_max_n2	rxn06280	0.02629443140049826	0.0
bulk_max_n2	rxn06449	0.08707147240077276	0.0
bulk_max_n2	rxn06937	0.06711999594337714	0.0
bulk_max_n2	rxn06439	0.02421855523730103	0.0
bulk_max_n2	rxn12192	0.00011532645351095729	0.0
bulk_max_n2	rxnProtDF	0.00011532645351095729	0.0
bulk_max_n2	rxn00455	0.00011532645351095726	0.0
bulk_max_n2	rxn00790	0.04067084901837453	0.0
bulk_max_n2	rxn02895	0.040670849018374526	0.0
bulk_max_n2	rxn03004	0.040670849018374526	0.0
bulk_max_n2	rxn03084	0.040670849018374526	0.0
bulk_max_n2	rxn02937	0.040670849018374526	0.0
bulk_max_n2	rxn05229	0.04066876767704129	0.0
bulk_max_n2	rxn03147	0.04066876767704129	0.0
bulk_max_n2	rxn03136	0.04066876767704129	0.0
bulk_max_n2	rxn03137	0.058069822914342324	0.0
bulk_max_n2	rxn00832	-0.058069822914342324	-0.0
