condition	reaction_id	reaction_name	flux	direction
Rhizosphere	EX_cpd00138_e0	EX D-Mannose e0	-0.05436649	uptake
Rhizosphere	EX_cpd00154_e0	EX Xylose e0	-0.04600242	uptake
Rhizosphere	EX_cpd00069_e0	EX L-Tyrosine e0	-0.00233919	uptake
Rhizosphere	EX_cpd00051_e0	EX L-arginine e0	-0.00948672	uptake
Rhizosphere	EX_cpd00396_e0	EX L-rhamnose e0	-0.02927426	uptake
Rhizosphere	EX_cpd00035_e0	EX L-Alanine e0	-0.00823049	uptake
Rhizosphere	EX_cpd00054_e0	EX L-Serine e0	-0.01004986	uptake
Rhizosphere	EX_cpd00147_e0	EX 5 Methylthioadenosine e0	8.68e-06	secretion
Rhizosphere	EX_cpd00161_e0	EX L-Threonine e0	-0.00961667	uptake
Nodule	EX_cpd00001_e0	EX H2O (water) e0	1.55665714	secretion
Nodule	EX_cpd00067_e0	EX H (proton) e0	-1.03777143	uptake
Nodule	EX_cpd00011_e0	EX CO2 (carbon dioxide) e0	2.07554286	secretion
Nodule	EX_cpd00007_e0	EX O2 (oxygen) e0	-1.26	uptake
Nodule	EX_cpd00036_e0	EX Succinate e0	0.59331429	secretion
Nodule	EX_cpd00130_e0	EX L-malate e0	-1.1122	uptake
