current_id,name,reaction_string,subsystem,lower_bound,upper_bound,suggested_new_id
rxn00248,Malate dehydrogenase,cpd00003[c0] + cpd00130[c0] <=> cpd00004[c0] + cpd00032[c0] + cpd00067[c0],,-1000.0,1000.0,
rxn00330,Malate synthase,cpd00001[c0] + cpd00022[c0] + cpd00040[c0] --> cpd00010[c0] + cpd00067[c0] + cpd00130[c0],,0.0,1000.0,
rxn01101,3-Phospho-glycerate dehydrogenase,cpd00003[c0] + cpd00169[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd02069[c0],,-1000.0,1000.0,
rxn02914,Phosphoserine aminotransferase,cpd00024[c0] + cpd00738[c0] <=> cpd00023[c0] + cpd02069[c0],,-1000.0,1000.0,
rxn00420,L O Phosphoserine phosphohydrolase c0,cpd00001[c0] + cpd00738[c0] --> cpd00009[c0] + cpd00054[c0],,0.0,1000.0,
rxn00692,Serine hydroxymethyltransferase  SHMT,cpd00001[c0] + cpd00033[c0] + cpd00125[c0] <=> cpd00054[c0] + cpd00087[c0],,-1000.0,1000.0,
rxn00179,Glutamate 5-kinase,cpd00002[c0] + cpd00023[c0] <=> cpd00008[c0] + cpd02097[c0],,-1000.0,1000.0,
rxn02373,Gamma-glutamyl phosphate reductase,cpd00005[c0] + cpd00067[c0] + cpd02097[c0] --> cpd00006[c0] + cpd00009[c0] + cpd00858[c0],,0.0,1000.0,
rxn02374,L-Glutamate-5-semialdehyde dehydratase,cpd00858[c0] <=> cpd00001[c0] + cpd00067[c0] + cpd02431[c0],,-1000.0,1000.0,
rxn00931,Pyrroline-5-carboxylate reductase,cpd00005[c0] + 2.0 cpd00067[c0] + cpd02431[c0] --> cpd00006[c0] + cpd00129[c0],,0.0,1000.0,
rxn00192,L-glutamate N-acetyltransferase,cpd00022[c0] + cpd00023[c0] --> cpd00010[c0] + cpd00067[c0] + cpd00477[c0],,0.0,1000.0,
rxn01917,Acetylglutamate kinase (NAG kinase),cpd00002[c0] + cpd00477[c0] <=> cpd00008[c0] + cpd02552[c0],,-1000.0,1000.0,
rxn02465,N-acetyl-gamma-glutamyl-phosphate reductase,cpd00005[c0] + cpd00067[c0] + cpd02552[c0] --> cpd00006[c0] + cpd00009[c0] + cpd00918[c0],,0.0,1000.0,
rxn01637,N2 Acetyl L ornithine 2 oxoglutarate aminotransferase c0,cpd00024[c0] + cpd00342[c0] <=> cpd00023[c0] + cpd00918[c0],,-1000.0,1000.0,
rxn00469,Acetylornithine deacetylase,cpd00001[c0] + cpd00342[c0] <=> cpd00029[c0] + cpd00064[c0],,-1000.0,1000.0,
rxn01636,Glutamate N-acetyltransferase,cpd00023[c0] + cpd00342[c0] <=> cpd00064[c0] + cpd00477[c0],,-1000.0,1000.0,
rxn01019,Ornithine carbamoyltransferase,cpd00064[c0] + cpd00146[c0] <=> cpd00009[c0] + cpd00067[c0] + cpd00274[c0],,-1000.0,1000.0,
