species	condition	time_h	mu	biomass_gL
S. meliloti	Rhizosphere	33	0.164639	2.28852214
S. meliloti	Rhizosphere	34	0.164639	2.69809222
S. meliloti	Rhizosphere	35	0.164639	3.18096184
S. meliloti	Rhizosphere	36	0.164639	3.75024923
S. meliloti	Rhizosphere	37	0.164639	4.42142029
S. meliloti	Rhizosphere	38	0.164639	5.21270887
S. meliloti	Rhizosphere	39	0.164639	6.14561204
S. meliloti	Rhizosphere	40	0.164639	7.24547415
S. meliloti	Rhizosphere	41	0.164639	8.54217534
S. meliloti	Rhizosphere	42	0.164639	10.07094332
S. meliloti	Rhizosphere	43	0.164639	11.87331041
S. meliloti	Rhizosphere	44	0.164639	13.99824184
S. meliloti	Rhizosphere	45	0.164639	16.50346599
S. meliloti	Rhizosphere	46	0.164639	19.45704274
S. meliloti	Rhizosphere	47	0.164639	22.93921242
S. meliloti	Rhizosphere	48	0.164639	27.04457577
S. meliloti	Rhizosphere	49	0.164639	31.88466392
S. meliloti	Rhizosphere	50	0.164639	37.5909684
S. meliloti	Rhizosphere	51	0.164639	44.3185134
S. meliloti	Rhizosphere	52	0.164639	52.25006734
S. meliloti	Rhizosphere	53	0.164639	61.60110815
S. meliloti	Rhizosphere	54	0.164639	72.62567721
S. meliloti	Rhizosphere	55	0.164639	85.62328096
S. meliloti	Rhizosphere	56	0.164639	100.9470276
S. meliloti	Rhizosphere	57	0.164639	119.0132201
S. meliloti	Rhizosphere	58	0.164639	140.3126659
S. meliloti	Rhizosphere	59	0.164639	165.42401085
S. meliloti	Rhizosphere	60	0.164639	195.02945931
S. meliloti	Rhizosphere	61	0.164639	229.93330776
S. meliloti	Rhizosphere	62	0.164639	271.08379527
S. meliloti	Rhizosphere	63	0.164639	319.59886445
S. meliloti	Rhizosphere	64	0.164639	376.7965328
S. meliloti	Rhizosphere	65	0.164639	444.23069955
S. meliloti	Rhizosphere	66	0.164639	523.73336069
S. meliloti	Rhizosphere	67	0.164639	617.46437917
S. meliloti	Rhizosphere	68	0.164639	727.97016222
S. meliloti	Rhizosphere	69	0.164639	858.25284009
S. meliloti	Rhizosphere	70	0.164639	1011.85182547
S. meliloti	Rhizosphere	71	0.164639	1192.9399693
S. meliloti	Rhizosphere	72	0.164639	1406.43692537
S. meliloti	Nodule	0	0.0	0.01
S. meliloti	Nodule	1	0.0	0.01
S. meliloti	Nodule	2	0.0	0.01
S. meliloti	Nodule	3	0.0	0.01
S. meliloti	Nodule	4	0.0	0.01
S. meliloti	Nodule	5	0.0	0.01
S. meliloti	Nodule	6	0.0	0.01
S. meliloti	Nodule	7	0.0	0.01
S. meliloti	Nodule	8	0.0	0.01
S. meliloti	Nodule	9	0.0	0.01
S. meliloti	Nodule	10	0.0	0.01
S. meliloti	Nodule	11	0.0	0.01
S. meliloti	Nodule	12	0.0	0.01
S. meliloti	Nodule	13	0.0	0.01
S. meliloti	Nodule	14	0.0	0.01
S. meliloti	Nodule	15	0.0	0.01
S. meliloti	Nodule	16	0.0	0.01
S. meliloti	Nodule	17	0.0	0.01
S. meliloti	Nodule	18	0.0	0.01
S. meliloti	Nodule	19	0.0	0.01
S. meliloti	Nodule	20	0.0	0.01
S. meliloti	Nodule	21	0.0	0.01
S. meliloti	Nodule	22	0.0	0.01
S. meliloti	Nodule	23	0.0	0.01
S. meliloti	Nodule	24	0.0	0.01
S. meliloti	Nodule	25	0.0	0.01
S. meliloti	Nodule	26	0.0	0.01
S. meliloti	Nodule	27	0.0	0.01
S. meliloti	Nodule	28	0.0	0.01
S. meliloti	Nodule	29	0.0	0.01
S. meliloti	Nodule	30	0.0	0.01
S. meliloti	Nodule	31	0.0	0.01
S. meliloti	Nodule	32	0.0	0.01
S. meliloti	Nodule	33	0.0	0.01
S. meliloti	Nodule	34	0.0	0.01
S. meliloti	Nodule	35	0.0	0.01
S. meliloti	Nodule	36	0.0	0.01
S. meliloti	Nodule	37	0.0	0.01
S. meliloti	Nodule	38	0.0	0.01
S. meliloti	Nodule	39	0.0	0.01
S. meliloti	Nodule	40	0.0	0.01
S. meliloti	Nodule	41	0.0	0.01
S. meliloti	Nodule	42	0.0	0.01
S. meliloti	Nodule	43	0.0	0.01
S. meliloti	Nodule	44	0.0	0.01
S. meliloti	Nodule	45	0.0	0.01
S. meliloti	Nodule	46	0.0	0.01
S. meliloti	Nodule	47	0.0	0.01
S. meliloti	Nodule	48	0.0	0.01
S. meliloti	Nodule	49	0.0	0.01
S. meliloti	Nodule	50	0.0	0.01
S. meliloti	Nodule	51	0.0	0.01
S. meliloti	Nodule	52	0.0	0.01
S. meliloti	Nodule	53	0.0	0.01
S. meliloti	Nodule	54	0.0	0.01
S. meliloti	Nodule	55	0.0	0.01
S. meliloti	Nodule	56	0.0	0.01
S. meliloti	Nodule	57	0.0	0.01
S. meliloti	Nodule	58	0.0	0.01
S. meliloti	Nodule	59	0.0	0.01
S. meliloti	Nodule	60	0.0	0.01
S. meliloti	Nodule	61	0.0	0.01
S. meliloti	Nodule	62	0.0	0.01
S. meliloti	Nodule	63	0.0	0.01
S. meliloti	Nodule	64	0.0	0.01
S. meliloti	Nodule	65	0.0	0.01
S. meliloti	Nodule	66	0.0	0.01
S. meliloti	Nodule	67	0.0	0.01
S. meliloti	Nodule	68	0.0	0.01
S. meliloti	Nodule	69	0.0	0.01
S. meliloti	Nodule	70	0.0	0.01
S. meliloti	Nodule	71	0.0	0.01
S. meliloti	Nodule	72	0.0	0.01
