gene_id	gene_name	n_reactions	reaction_ids
g1282	COBRAProtein1282	8	rxnSL8;rxnSL6;rxnSL24;rxnSL4;rxnSL10;rxnSL16;rxnSL19;rxnSL2
g1283	COBRAProtein1283	1	rxn00102
g1284	COBRAProtein1284	1	rxn01396_c0
g1285	COBRAProtein1285	1	rxn00182
g1286	COBRAProtein1286	2	rxn03137;rxn00832
g1287	COBRAProtein1287	3	rxn00176;rxn00175;rxn00226
g1288	COBRAProtein1288	1	rxn00669_c0
g1289	COBRAProtein1289	2	rxn01986_c0;rxn00778
g1290	COBRAProtein1290	2	rxn01858;rxn01137_c0
g1291	COBRAProtein1291	1	rxn00711
g1292	COBRAProtein1292	1	rxn01146
g1293	COBRAProtein1293	8	rxn01985;rxn01548;rxn01859;rxn01138;rxn01649;rxn01799_c0;rxn01358;rxn01446
g1294	COBRAProtein1294	2	rxn01987_c0;rxn01368_c0
g1295	COBRAProtein1295	5	rxnBLTPcpd00246;rxnBLTPcpd00207;rxnBLTPcpd00182;rxnBLTPcpd00128;rxnBLTPcpd00311
g1296	COBRAProtein1296	5	rxnBLTPcpd00246;rxnBLTPcpd00207;rxnBLTPcpd00182;rxnBLTPcpd00128;rxnBLTPcpd00311
g1297	COBRAProtein1297	5	rxnBLTPcpd00246;rxnBLTPcpd00207;rxnBLTPcpd00182;rxnBLTPcpd00128;rxnBLTPcpd00311
g1298	COBRAProtein1298	2	rxn01187_c0;rxn00548_c0
g1299	COBRAProtein1299	1	rxn01818
g1300	COBRAProtein1300	1	rxn05623
g1301	COBRAProtein1301	1	rxnGFC1c
g1302	COBRAProtein1302	1	rxnGFC1c
g1303	COBRAProtein1303	1	rxnGFC1c
g1304	COBRAProtein1304	1	rxnGFC1c
g1305	COBRAProtein1305	1	rxn00691
g1306	COBRAProtein1306	2	rxn05517_c0;rxn05315_c0
g1307	COBRAProtein1307	8	rxnSL23;rxnSL3;rxnSL9;rxnSL15;rxnSL18;rxnSL1;rxnSL7;rxnSL5
g1308	COBRAProtein1308	1	rxn02897
g1309	COBRAProtein1309	1	rxn03538
g1310	COBRAProtein1310	1	rxn05150
g1311	COBRAProtein1311	1	rxn05150
g1312	COBRAProtein1312	1	rxn05150
g1313	COBRAProtein1313	1	rxn00020m_c0
g1314	COBRAProtein1314	6	rxnBLTPcpd00158;rxnBLTPcpd01030;rxnBLTPcpdMANB;rxnBLTPcpd11603;rxnBLTPcpd05158;rxnBLTPcpd03696
