gene_id	gene_name	n_reactions	reaction_ids
g259	COBRAProtein259	5	rxnBLGFcpd00041;rxn05561;rxn09269;rxn09269dm_c0;rxn09269lm
g260	COBRAProtein260	1	rxn09997
g261	COBRAProtein261	1	rxn07295
g262	COBRAProtein262	1	rxnTHIZsyn
g263	COBRAProtein263	1	rxn02305
g264	COBRAProtein264	1	rxn05549_c0
g265	COBRAProtein265	1	rxn00416
g266	COBRAProtein266	2	rxn01281_c0;rxn01280_c0
g267	COBRAProtein267	1	rxn01015_c0
g268	COBRAProtein268	1	rxn05549_c0
g269	COBRAProtein269	1	rxn05549_c0
g270	COBRAProtein270	1	rxn00562
g271	COBRAProtein271	1	rxn01011
g272	COBRAProtein272	2	rxn01281_c0;rxn01280_c0
g273	COBRAProtein273	1	rxn01015_c0
g274	COBRAProtein274	1	rxn00010_c0
g275	COBRAProtein275	1	rxn01278_c0
g276	COBRAProtein276	1	rxnBLGFcpd00121
g277	COBRAProtein277	1	rxnBLGFcpd00121
g278	COBRAProtein278	1	rxnBLGFcpd00121
g279	COBRAProtein279	1	rxn05549_c0
g280	COBRAProtein280	1	rxn05549_c0
g281	COBRAProtein281	1	rxn00187
g282	COBRAProtein282	1	rxn01480
g283	COBRAProtein283	2	rxn02933;rxn03433
g284	COBRAProtein284	2	rxn01924;rxn02270
g285	COBRAProtein285	1	rxn01355
g286	COBRAProtein286	1	rxn01355
g287	COBRAProtein287	1	rxn00602
g288	COBRAProtein288	1	rxn00744_c0
g289	COBRAProtein289	1	rxnBLTPcpd00197
g290	COBRAProtein290	1	rxnBLTPcpd00197
g291	COBRAProtein291	1	rxnBLTPcpd00197
g292	COBRAProtein292	1	rxnBLTPcpd00197
g293	COBRAProtein293	1	rxn01117
g294	COBRAProtein294	1	rxn01117
g295	COBRAProtein295	2	rxn01522;rxn01297
g296	COBRAProtein296	1	rxn01225
g297	COBRAProtein297	1	rxn00145_c0
g298	COBRAProtein298	1	rxn05549_c0
g299	COBRAProtein299	1	rxn05549_c0
g300	COBRAProtein300	1	rxn08975_c0
g301	COBRAProtein301	1	rxn00562
g302	COBRAProtein302	1	rxn01828
g303	COBRAProtein303	1	rxn00196
g304	COBRAProtein304	2	rxn08573;rxn08139
g305	COBRAProtein305	2	rxn08573;rxn08139
g306	COBRAProtein306	2	rxn08573;rxn08139
g307	COBRAProtein307	1	rxn00879
g308	COBRAProtein308	2	rxn05147;rxn05167
g309	COBRAProtein309	3	rxn05147;rxn05167;rxn05549_c0
g310	COBRAProtein310	2	rxn05147;rxn05167
g311	COBRAProtein311	4	rxnBLTPcpd00208;rxn05549_c0;rxnBLTPcpd04349;rxnBLTPcpd02274
g312	COBRAProtein312	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g313	COBRAProtein313	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g314	COBRAProtein314	1	rxnEPSSlmw2
g315	COBRAProtein315	1	rxnEPSShmw
g316	COBRAProtein316	1	rxn00214
g317	COBRAProtein317	1	rxnEPSS3
g318	COBRAProtein318	1	rxnEPSShmw
g319	COBRAProtein319	1	rxn01119
g320	COBRAProtein320	1	rxnEPSS6
g321	COBRAProtein321	1	rxnEPSS10
g322	COBRAProtein322	1	rxnEPSSlmw
g323	COBRAProtein323	1	rxnEPSS8
g324	COBRAProtein324	1	rxnEPSSlmw2
g325	COBRAProtein325	1	rxnEPSS2
g326	COBRAProtein326	1	rxnEPSS1
g327	COBRAProtein327	1	rxnEPSS4
g328	COBRAProtein328	1	rxnEPSS5
g329	COBRAProtein329	1	rxn00213
g330	COBRAProtein330	2	rxnEPSShmw;rxnEPSSlmw
g331	COBRAProtein331	2	rxn03108;rxn02484
g332	COBRAProtein332	1	rxn01637
g333	COBRAProtein333	1	rxn00568
g334	COBRAProtein334	1	rxn00568
g335	COBRAProtein335	1	rxn10121
g336	COBRAProtein336	1	rxn02287
g337	COBRAProtein337	1	rxn01274_c0
g338	COBRAProtein338	1	rxn01274_c0
g339	COBRAProtein339	1	rxn12192
g340	COBRAProtein340	2	rxn00650_c0;rxnProtDF
g341	COBRAProtein341	1	rxn00615
g342	COBRAProtein342	1	rxn00992_c0
g343	COBRAProtein343	2	rxn01522;rxn01297
g344	COBRAProtein344	1	rxn01997
g345	COBRAProtein345	1	rxn01329
g346	COBRAProtein346	1	rxn00640
g347	COBRAProtein347	1	rxn00802
g348	COBRAProtein348	1	rxnBLTPcpd00274
g349	COBRAProtein349	1	rxnBLTPcpd00274
g350	COBRAProtein350	1	rxnBLTPcpd00274
g351	COBRAProtein351	1	rxnBLTPcpd00751
g352	COBRAProtein352	1	rxnBLTPcpd00751
g353	COBRAProtein353	1	rxnBLTPcpd00751
g354	COBRAProtein354	1	rxnBLTPcpd00751
g355	COBRAProtein355	1	rxn14044
g356	COBRAProtein356	1	rxnFUCOSE1
g357	COBRAProtein357	1	rxnFUCOSE2
g358	COBRAProtein358	1	rxnFUCOSE3
g359	COBRAProtein359	1	rxn02617
g360	COBRAProtein360	1	rxn01275_c0
g361	COBRAProtein361	1	rxn02866
g362	COBRAProtein362	1	rxn02889
g363	COBRAProtein363	1	rxn02889
g364	COBRAProtein364	1	rxn00991
g365	COBRAProtein365	1	rxn01504
g366	COBRAProtein366	1	rxn05153
g367	COBRAProtein367	1	rxn05153
g368	COBRAProtein368	1	rxn05153
g369	COBRAProtein369	1	rxn05153
g370	COBRAProtein370	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g371	COBRAProtein371	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g372	COBRAProtein372	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g373	COBRAProtein373	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g374	COBRAProtein374	1	rxn08212
g375	COBRAProtein375	1	rxn08212
g376	COBRAProtein376	1	rxn08212
g377	COBRAProtein377	1	rxn08212
g378	COBRAProtein378	1	rxn02085
g379	COBRAProtein379	1	rxn01639
g380	COBRAProtein380	1	rxn00867
g381	COBRAProtein381	1	rxn01642
g382	COBRAProtein382	2	rxnGFTP9;rxn05145
g383	COBRAProtein383	2	rxnGFTP9;rxn05145
g384	COBRAProtein384	2	rxnGFTP9;rxn05145
g385	COBRAProtein385	2	rxnGFTP9;rxn05145
g386	COBRAProtein386	2	rxn00225_c0;rxn00985_c0
g387	COBRAProtein387	1	rxn00509
g388	COBRAProtein388	2	rxn01637;rxn01204
g389	COBRAProtein389	1	rxn00786
g390	COBRAProtein390	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g391	COBRAProtein391	2	rxnGALAMk;rxnNAGALAMk
g392	COBRAProtein392	1	rxn11877
g393	COBRAProtein393	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g394	COBRAProtein394	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g395	COBRAProtein395	2	rxnBLTPcpd01524;rxnBLTPcpd00832
g396	COBRAProtein396	1	rxnNFBS11
g397	COBRAProtein397	1	rxnNFBS12
g398	COBRAProtein398	1	rxnNFBS14
g399	COBRAProtein399	4	rxn01299_c0;rxn01545;rxn00927;rxn01226
g400	COBRAProtein400	1	rxn00926
g401	COBRAProtein401	1	rxn00469
g402	COBRAProtein402	1	rxn05201_c0
g403	COBRAProtein403	1	rxn01746
g404	COBRAProtein404	2	rxn01522;rxn01297
g405	COBRAProtein405	2	rxn01522;rxn01297
g406	COBRAProtein406	1	rxn01225
g407	COBRAProtein407	1	rxn00784_c0
g408	COBRAProtein408	1	rxnEPSG2
g409	COBRAProtein409	1	rxnEPSG2
g410	COBRAProtein410	1	rxnEPSG1
g411	COBRAProtein411	1	rxnEPSG2
g412	COBRAProtein412	2	rxnEPSG1;rxnEPSG2
g413	COBRAProtein413	1	rxn01675
g414	COBRAProtein414	1	rxn02000
g415	COBRAProtein415	1	rxn01997
g416	COBRAProtein416	1	rxn02003
g417	COBRAProtein417	1	rxn05549_c0
g418	COBRAProtein418	1	rxn05549_c0
g419	COBRAProtein419	1	rxn05549_c0
g420	COBRAProtein420	1	rxnBLTPcpd00020
g421	COBRAProtein421	1	rxnBLTPcpd00020
g422	COBRAProtein422	1	rxnBLTPcpd00020
g423	COBRAProtein423	1	rxn01275_c0
g424	COBRAProtein424	1	rxnTAG1
g425	COBRAProtein425	1	rxn02094
g426	COBRAProtein426	1	rxnBLTPcpd00589
g427	COBRAProtein427	1	rxnBLTPcpd00589
g428	COBRAProtein428	1	rxnBLTPcpd00589
g429	COBRAProtein429	1	rxn01997
g430	COBRAProtein430	1	rxn02000
g431	COBRAProtein431	1	rxn05557_c0
g432	COBRAProtein432	1	rxnEPSSlmw2
g433	COBRAProtein433	1	rxnEPSSlmw2
g434	COBRAProtein434	1	rxn00471
g435	COBRAProtein435	2	rxn00670_c0;rxn00173_c0
g436	COBRAProtein436	1	rxn02900_c0
g437	COBRAProtein437	1	rxn00228
g438	COBRAProtein438	1	rxnPhnY
g439	COBRAProtein439	1	rxnPBdm2
g440	COBRAProtein440	1	rxn00351
g441	COBRAProtein441	3	rxn00817;rxn00818;rxn02596
g442	COBRAProtein442	3	rxnBLTPcpd01133;rxnBLTPcpd03198;rxnBLTPcpd00382
g443	COBRAProtein443	3	rxnBLTPcpd01133;rxnBLTPcpd03198;rxnBLTPcpd00382
g444	COBRAProtein444	3	rxnBLTPcpd01133;rxnBLTPcpd03198;rxnBLTPcpd00382
g445	COBRAProtein445	3	rxnBLTPcpd01133;rxnBLTPcpd03198;rxnBLTPcpd00382
g446	COBRAProtein446	3	rxn00817;rxn00818;rxn02596
g447	COBRAProtein447	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g448	COBRAProtein448	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g449	COBRAProtein449	3	rxnBLTPcpd00208;rxnBLTPcpd04349;rxnBLTPcpd02274
g450	COBRAProtein450	3	rxn00816c;rxn00816;rxn00816b
g451	COBRAProtein451	1	rxnEPSS7
g452	COBRAProtein452	1	rxnBLTPcpd00073
g453	COBRAProtein453	1	rxnTHIZsyn
g454	COBRAProtein454	12	rxnVLCFA29;rxnVLCFA9;rxnVLCFA37;rxnVLCFA21;rxnVLCFA49;rxnVLCFA33;rxnVLCFA45;rxnVLCFA13;rxnVLCFA41;rxnVLCFA25;rxnVLCFA5;rxnVLCFA17
g455	COBRAProtein455	1	rxn01106
g456	COBRAProtein456	1	rxn01255
g457	COBRAProtein457	2	rxn00300;rxn05040
g458	COBRAProtein458	1	rxn00058
g459	COBRAProtein459	1	rxn00058
g460	COBRAProtein460	1	rxn00058
g461	COBRAProtein461	1	rxn00058
g462	COBRAProtein462	2	rxn08352;rxn04113
g463	COBRAProtein463	1	rxn01300
g464	COBRAProtein464	1	rxn05294
g465	COBRAProtein465	1	rxn00151_c0
g466	COBRAProtein466	3	rxn00806;rxn01575;rxn00903
g467	COBRAProtein467	1	rxn05209
g468	COBRAProtein468	1	rxn05209
g469	COBRAProtein469	1	rxn05209
g470	COBRAProtein470	1	rxn05209
g471	COBRAProtein471	1	rxn05209
g472	COBRAProtein472	1	rxn05209
g473	COBRAProtein473	1	rxn05209
g474	COBRAProtein474	1	rxn00209
g475	COBRAProtein475	1	rxn01069
g476	COBRAProtein476	1	rxn05179
g477	COBRAProtein477	1	rxn00058
g478	COBRAProtein478	1	rxn09240
g479	COBRAProtein479	1	rxn09240
g480	COBRAProtein480	1	rxn05239
g481	COBRAProtein481	1	rxn10770
g482	COBRAProtein482	1	rxn01867
g483	COBRAProtein483	1	rxn00763_c0
g484	COBRAProtein484	1	rxn10116_c0
g485	COBRAProtein485	1	rxn04684
g486	COBRAProtein486	2	rxn01281_c0;rxn01280_c0
g487	COBRAProtein487	1	rxn00799
g488	COBRAProtein488	2	rxnEry4;rxn00777
g489	COBRAProtein489	1	rxn00086
g490	COBRAProtein490	1	rxn01332
g491	COBRAProtein491	1	rxn00138
g492	COBRAProtein492	1	rxnBluB
g493	COBRAProtein493	1	rxn00159
g494	COBRAProtein494	1	rxn05964
g495	COBRAProtein495	1	rxn02303
g496	COBRAProtein496	1	rxn12750
g497	COBRAProtein497	1	rxn12750
g498	COBRAProtein498	1	rxn12750
g499	COBRAProtein499	1	rxn00555
g500	COBRAProtein500	2	rxn03638;rxn00293
g501	COBRAProtein501	1	rxn00791
g502	COBRAProtein502	1	rxn02507
g503	COBRAProtein503	3	rxnPC9;rxnPC2;rxnPC4
g504	COBRAProtein504	1	rxn00058
g505	COBRAProtein505	2	rxn01281_c0;rxn01280_c0
g506	COBRAProtein506	1	rxn01834_c0
g507	COBRAProtein507	1	rxn01301
g508	COBRAProtein508	2	rxn00527;rxn05036
g509	COBRAProtein509	1	rxn11920
g510	COBRAProtein510	2	rxn00650_c0;rxnProtDF
g511	COBRAProtein511	1	rxn04139
g512	COBRAProtein512	1	rxn12192
g513	COBRAProtein513	12	rxn05326;rxnUS16;rxn05324;rxn05464;rxnUS8;rxn05325;rxn05323;rxn05322;rxnUS12;rxn05327;rxn05328;rxnUS4
g514	COBRAProtein514	10	rxn05348;rxn05460;rxnUS5;rxn05350;rxn05345;rxnUS9;rxn05343;rxn05344;rxnUS1;rxn05346
g515	COBRAProtein515	8	rxn05334;rxn05335;rxn05333;rxn05332;rxn07455;rxn05330;rxn05331;rxn05462
g516	COBRAProtein516	1	rxn02476
g517	COBRAProtein517	1	rxn00364
g518	COBRAProtein518	1	rxn12192
g519	COBRAProtein519	1	rxn01013_c0
g520	COBRAProtein520	1	rxn12192
g521	COBRAProtein521	1	rxn12192
g522	COBRAProtein522	1	rxn12192
g523	COBRAProtein523	1	rxn12192
g524	COBRAProtein524	1	rxn12192
g525	COBRAProtein525	1	rxn06444
g526	COBRAProtein526	1	rxn06444
g527	COBRAProtein527	2	rxn00527;rxn05036
g528	COBRAProtein528	1	rxn00917
g529	COBRAProtein529	2	rxn10474_c0;rxn05616
g530	COBRAProtein530	1	rxn03901
g531	COBRAProtein531	1	rxn00710
g532	COBRAProtein532	9	rxnDMPE1;rxnDMPE2;rxnMMPE6;rxnPC1;rxnPC3;rxnDMPE3;rxnMMPE1;rxnMMPE2;rxnPC8
g533	COBRAProtein533	1	rxn05294
g534	COBRAProtein534	1	rxn00351
g535	COBRAProtein535	1	rxn00649
g536	COBRAProtein536	1	rxn12192
g537	COBRAProtein537	1	rxn12146
g538	COBRAProtein538	1	rxn02007
g539	COBRAProtein539	1	rxn08707
g540	COBRAProtein540	1	rxn01519_c0
g541	COBRAProtein541	1	rxn02201
g542	COBRAProtein542	1	rxn02504
g543	COBRAProtein543	1	rxn02503
g544	COBRAProtein544	1	rxn06300
g545	COBRAProtein545	1	rxn05651
g546	COBRAProtein546	2	rxn01387;rxn00199
g547	COBRAProtein547	1	rxn00193
g548	COBRAProtein548	1	rxn12192
g549	COBRAProtein549	1	rxn00189
g550	COBRAProtein550	1	rxn03084
g551	COBRAProtein551	1	rxn03084
g552	COBRAProtein552	1	rxn03084
g553	COBRAProtein553	1	rxn03147
g554	COBRAProtein554	2	rxn00800;rxn03136
g555	COBRAProtein555	1	rxn01116
g556	COBRAProtein556	1	rxn06280
g557	COBRAProtein557	2	rxnTHIZsyn;rxnNifS_c0
g558	COBRAProtein558	3	rxnPE9;rxnPE4;rxnPE2
g559	COBRAProtein559	3	rxnPE1;rxnPE8;rxnPE3
g560	COBRAProtein560	1	rxn00790
g561	COBRAProtein561	1	rxn00283
g562	COBRAProtein562	1	rxn05294
g563	COBRAProtein563	1	rxn12192
g564	COBRAProtein564	1	rxn12192
g565	COBRAProtein565	1	rxn12192
g566	COBRAProtein566	3	rxn05465;rxnNFBS1;rxnVLCFA1
g567	COBRAProtein567	13	rxnUS10;rxn05338;rxn05336;rxnUS2;rxn05337;rxnUS14;rxn05340;rxn05461;rxnUS6;rxn05341;rxn05342;rxn05339;rxnNFBS3
g568	COBRAProtein568	1	rxn05465
g569	COBRAProtein569	10	rxnUS13;rxn05348;rxn05460;rxnUS5;rxn05350;rxn05345;rxnUS9;rxn05343;rxn05344;rxn05346
g570	COBRAProtein570	2	rxn01509;rxn09562
g571	COBRAProtein571	1	rxn12192
g572	COBRAProtein572	1	rxn03951
g573	COBRAProtein573	19	rxn12845_c0;rxn12637;rxn12642;rxn12645;rxn00650_c0;rxn12846_c0;rxn12634;rxn12643;rxn12847_c0;rxn12633;rxn12644;rxn12639;rxn12646;rxn12638;rxn12640;rxn12635;rxn12844_c0;rxn12641;rxn12636
g574	COBRAProtein574	1	rxn05294
g575	COBRAProtein575	2	rxn01289;rxn00812
g576	COBRAProtein576	8	rxn01673;rxn01353;rxn00409;rxn01512;rxn00237;rxn00117;rxn01678;rxn00839
g577	COBRAProtein577	6	rxnPG5;rxnPG21;rxnPG11;rxnPG17;rxnPG37;rxnPG25
g578	COBRAProtein578	1	rxn03004
g579	COBRAProtein579	1	rxn02937
g580	COBRAProtein580	1	rxn05294
g581	COBRAProtein581	1	rxnPolyPi1
g582	COBRAProtein582	1	rxn01485
g583	COBRAProtein583	1	rxn02914
g584	COBRAProtein584	1	rxn01101
g585	COBRAProtein585	1	rxn00838
g586	COBRAProtein586	1	rxnBIOMASS
g587	COBRAProtein587	1	rxn00867
g588	COBRAProtein588	4	rxn05164;rxn05637;rxn05165;rxnBLTPcpd01293
g589	COBRAProtein589	4	rxn05164;rxn05637;rxn05165;rxnBLTPcpd01293
g590	COBRAProtein590	4	rxn05164;rxn05637;rxn05165;rxnBLTPcpd01293
g591	COBRAProtein591	1	rxn00763_c0
g592	COBRAProtein592	1	rxn00469
g593	COBRAProtein593	1	rxn06673
g594	COBRAProtein594	1	rxn01739
g595	COBRAProtein595	1	rxn02212
g596	COBRAProtein596	1	rxn10476
g597	COBRAProtein597	1	rxn10476
g598	COBRAProtein598	1	rxn12192
g599	COBRAProtein599	1	rxn01274_c0
g600	COBRAProtein600	3	rxn02320;rxn00493;rxn00527
g601	COBRAProtein601	2	rxn01269;rxn00525
g602	COBRAProtein602	6	rxnPG15;rxnSL14;rxnPG19;rxnSL22;rxnPG3;rxnPG9
g603	COBRAProtein603	1	rxn00836
g604	COBRAProtein604	1	rxn00313
g605	COBRAProtein605	1	rxn00802
g606	COBRAProtein606	1	rxn01452_c0
g607	COBRAProtein607	1	rxn00669_c0
g608	COBRAProtein608	1	rxn00336_c0
g609	COBRAProtein609	1	rxn00988_c0
g610	COBRAProtein610	1	rxn05195
g611	COBRAProtein611	1	rxn11920
g612	COBRAProtein612	2	rxn00501;rxn00671
g613	COBRAProtein613	1	rxn05195
g614	COBRAProtein614	19	rxn05539_c0;rxn05538;rxn12851_c0;rxn05542;rxn05536;rxn05537;rxn05543;rxn05546;rxn05534;rxn05544;rxn12848_c0;rxn05533;rxn05545;rxn12849_c0;rxn05540;rxn05547;rxn12850_c0;rxn05541;rxn05535
g615	COBRAProtein615	19	rxn05539_c0;rxn05538;rxn12851_c0;rxn05542;rxn05536;rxn05537;rxn05543;rxn05546;rxn05534;rxn05544;rxn12848_c0;rxn05533;rxn05545;rxn12849_c0;rxn05540;rxn05547;rxn12850_c0;rxn05541;rxn05535
g616	COBRAProtein616	19	rxn05539_c0;rxn05538;rxn12851_c0;rxn05542;rxn05536;rxn05537;rxn05543;rxn05546;rxn05534;rxn05544;rxn12848_c0;rxn05533;rxn05545;rxn12849_c0;rxn05540;rxn05547;rxn12850_c0;rxn05541;rxn05535
g617	COBRAProtein617	19	rxn05539_c0;rxn05538;rxn12851_c0;rxn05542;rxn05536;rxn05537;rxn05543;rxn05546;rxn05534;rxn05544;rxn12848_c0;rxn05533;rxn05545;rxn12849_c0;rxn05540;rxn05547;rxn12850_c0;rxn05541;rxn05535
g618	COBRAProtein618	19	rxn05539_c0;rxn05538;rxn12851_c0;rxn05542;rxn05536;rxn05537;rxn05543;rxn05546;rxn05534;rxn05544;rxn12848_c0;rxn05533;rxn05545;rxn12849_c0;rxn05540;rxn05547;rxn12850_c0;rxn05541;rxn05535
g619	COBRAProtein619	1	rxn08291_c0
g620	COBRAProtein620	1	rxnBIOMASS
g621	COBRAProtein621	1	rxn00834
g622	COBRAProtein622	1	rxn00006
g623	COBRAProtein623	1	rxn00646
g624	COBRAProtein624	1	rxn11268_c0
g625	COBRAProtein625	1	rxn08657
g626	COBRAProtein626	1	rxn08657
g627	COBRAProtein627	1	rxn06438
g628	COBRAProtein628	1	rxn06438
g629	COBRAProtein629	1	rxnUB1
g630	COBRAProtein630	1	rxn03908
g631	COBRAProtein631	1	rxn05294
g632	COBRAProtein632	1	rxn10042
g633	COBRAProtein633	1	rxn10042
g634	COBRAProtein634	1	rxn10042
g635	COBRAProtein635	1	rxn10042
g636	COBRAProtein636	1	rxn10042
g637	COBRAProtein637	1	rxn08769
g638	COBRAProtein638	2	rxn10474_c0;rxn05616
g639	COBRAProtein639	1	rxn00812
g640	COBRAProtein640	1	rxn02429
g641	COBRAProtein641	1	rxn00783
g642	COBRAProtein642	1	rxn02174
g643	COBRAProtein643	1	rxn02173
g644	COBRAProtein644	1	rxn03181
g645	COBRAProtein645	2	rxn03439;rxn03182
g646	COBRAProtein646	1	rxn06440
g647	COBRAProtein647	2	rxn00122;rxn00392
g648	COBRAProtein648	1	rxn00789
g649	COBRAProtein649	1	rxn00789
g650	COBRAProtein650	1	rxn06439
g651	COBRAProtein651	5	rxn05682;rxnBLTPcpd00151;rxn05527_c0;rxnBLTPcpd00184;rxn05197
g652	COBRAProtein652	1	rxn08657
g653	COBRAProtein653	1	rxn00737
g654	COBRAProtein654	1	rxn08769
g655	COBRAProtein655	2	rxn01544;rxn00915
g656	COBRAProtein656	1	rxn00187
g657	COBRAProtein657	1	rxn05223
g658	COBRAProtein658	1	rxn05223
g659	COBRAProtein659	1	rxn05223
g660	COBRAProtein660	1	rxn03909
g661	COBRAProtein661	1	rxn02939
g662	COBRAProtein662	1	rxn03893
g663	COBRAProtein663	1	rxn02895
g664	COBRAProtein664	1	rxn02835
g665	COBRAProtein665	4	rxn00302;rxn03174;rxn03419;rxn03421
g666	COBRAProtein666	1	rxnNifU
g667	COBRAProtein667	1	rxn06447
g668	COBRAProtein668	1	rxn05294
g669	COBRAProtein669	1	rxn00747
g670	COBRAProtein670	1	rxn00412
g671	COBRAProtein671	1	rxn02404
g672	COBRAProtein672	1	rxn02331
g673	COBRAProtein673	1	rxn00459
g674	COBRAProtein674	2	rxn00011p;rxn02342
g675	COBRAProtein675	2	rxn00011p;rxn02342
g676	COBRAProtein676	1	rxn01871
g677	COBRAProtein677	1	rxn01241a
g678	COBRAProtein678	2	rxn03910;rxn03907
g679	COBRAProtein679	1	rxn08769
g680	COBRAProtein680	1	rxn00849
g681	COBRAProtein681	1	rxn01519_c0
g682	COBRAProtein682	1	rxn02287
g683	COBRAProtein683	1	rxn01973
g684	COBRAProtein684	1	rxn06538
g685	COBRAProtein685	1	rxn00455
g686	COBRAProtein686	1	rxn00772
g687	COBRAProtein687	4	rxn01299_c0;rxn01545;rxn00927;rxn01226
g688	COBRAProtein688	1	rxn00126
g689	COBRAProtein689	4	rxnOL2;rxnOL8;rxnOL9;rxnOL4
g690	COBRAProtein690	1	rxn06448
g691	COBRAProtein691	1	rxn10199
g692	COBRAProtein692	1	rxn00161
g693	COBRAProtein693	3	rxnOL7;rxnOL3;rxnOL1
g694	COBRAProtein694	1	rxn05294
g695	COBRAProtein695	1	rxn12192
g696	COBRAProtein696	2	rxn02934;rxn02949
g697	COBRAProtein697	1	rxn03397
g698	COBRAProtein698	1	rxn03394
g699	COBRAProtein699	2	rxn02341;rxn09177
g700	COBRAProtein700	1	rxn03932
g701	COBRAProtein701	1	rxn12147
g702	COBRAProtein702	1	rxn05294
g703	COBRAProtein703	1	rxn00278
g704	COBRAProtein704	1	rxn00649
g705	COBRAProtein705	2	rxn01517;rxn01513
g706	COBRAProtein706	1	rxn05294
g707	COBRAProtein707	1	rxn06443
g708	COBRAProtein708	1	rxn02175
g709	COBRAProtein709	1	rxn00414
g710	COBRAProtein710	1	rxn13784
g711	COBRAProtein711	2	rxnLPS1;rxnLPS2
g712	COBRAProtein712	1	rxnLPS2
g713	COBRAProtein713	1	rxnLPS2
g714	COBRAProtein714	1	rxnLPS2
g715	COBRAProtein715	1	rxn05289
g716	COBRAProtein716	1	rxn05294
g717	COBRAProtein717	1	rxn05294
g718	COBRAProtein718	4	rxn06075;rxn05231;rxn05233;rxn06076
g719	COBRAProtein719	1	rxn00165
g720	COBRAProtein720	1	rxn05616
g721	COBRAProtein721	1	rxn12192
g722	COBRAProtein722	1	rxn13784
g723	COBRAProtein723	1	rxn12192
g724	COBRAProtein724	1	rxn12192
g725	COBRAProtein725	3	rxn00097;rxn01127;rxn10052
g726	COBRAProtein726	1	rxn12192
g727	COBRAProtein727	1	rxn12192
g728	COBRAProtein728	1	rxn12192
g729	COBRAProtein729	1	rxn12192
g730	COBRAProtein730	1	rxn12192
g731	COBRAProtein731	1	rxn12192
g732	COBRAProtein732	1	rxn12192
g733	COBRAProtein733	1	rxn12192
g734	COBRAProtein734	1	rxn12192
g735	COBRAProtein735	1	rxn12192
g736	COBRAProtein736	1	rxn12192
g737	COBRAProtein737	1	rxn12192
g738	COBRAProtein738	1	rxn12192
g739	COBRAProtein739	1	rxn12192
g740	COBRAProtein740	1	rxn12192
g741	COBRAProtein741	1	rxn12192
g742	COBRAProtein742	1	rxn12192
g743	COBRAProtein743	1	rxn12192
g744	COBRAProtein744	1	rxn12192
g745	COBRAProtein745	1	rxn12192
g746	COBRAProtein746	1	rxn12192
g747	COBRAProtein747	1	rxn12192
g748	COBRAProtein748	1	rxn12192
g749	COBRAProtein749	1	rxn12192
g750	COBRAProtein750	1	rxn12192
g751	COBRAProtein751	1	rxn13784
g752	COBRAProtein752	1	rxn13784
g753	COBRAProtein753	1	rxn12192
g754	COBRAProtein754	1	rxn12192
g755	COBRAProtein755	1	rxn12192
g756	COBRAProtein756	1	rxn12192
g757	COBRAProtein757	1	rxn13784
g758	COBRAProtein758	1	rxn12192
g759	COBRAProtein759	1	rxn00077
g760	COBRAProtein760	1	rxn12192
g761	COBRAProtein761	1	rxn10199
g762	COBRAProtein762	1	rxn02213
g763	COBRAProtein763	1	rxn06672
g764	COBRAProtein764	1	rxn06672
g765	COBRAProtein765	2	rxn11595;rxn10534
g766	COBRAProtein766	2	rxn11595;rxn10534
g767	COBRAProtein767	2	rxn11595;rxn10534
g768	COBRAProtein768	1	rxn01018
g769	COBRAProtein769	1	rxn01018
g770	COBRAProtein770	3	rxnPG2;rxnPG8;rxnPG14
g771	COBRAProtein771	1	rxn05294
g772	COBRAProtein772	1	rxn12192
g773	COBRAProtein773	1	rxn05294
g774	COBRAProtein774	1	rxn04070
g775	COBRAProtein775	1	rxn05305_c0
g776	COBRAProtein776	3	rxn02185;rxn03194;rxn00011b
g777	COBRAProtein777	3	rxn02185;rxn03194;rxn00011b
g778	COBRAProtein778	2	rxn00686;rxn01602
g779	COBRAProtein779	1	rxn01520
g780	COBRAProtein780	1	rxn00146
g781	COBRAProtein781	1	rxn00058
g782	COBRAProtein782	1	rxn00420
g783	COBRAProtein783	3	rxnBLTPcpd01307;rxnBLTPcpd00314;rxnBLTPcpd00588
g784	COBRAProtein784	3	rxnBLTPcpd01307;rxnBLTPcpd00314;rxnBLTPcpd00588
g785	COBRAProtein785	3	rxnBLTPcpd01307;rxnBLTPcpd00314;rxnBLTPcpd00588
g786	COBRAProtein786	3	rxnBLTPcpd01307;rxnBLTPcpd00314;rxnBLTPcpd00588
g787	COBRAProtein787	2	rxn03883;rxn00634
g788	COBRAProtein788	1	rxn00629
g789	COBRAProtein789	1	rxn05195b
g790	COBRAProtein790	1	rxn05195b
