condition	reaction_id	flux	reduced_cost	reaction_name
nodule	rxn05957	0.0	0.0	O-succinylhomoserine sulfhydrylase
nodule	rxn00693	0.0	0.0	B12-dependent methionine synthase
nodule	rxn00770	-1.351895468159367e-16	0.0	Ribose-phosphate pyrophosphokinase
nodule	rxn00789	0.0	0.0	ATP phosphoribosyltransferase
nodule	rxn02834	0.0	0.0	Phosphoribosyl-ATP pyrophosphatase
nodule	rxn02835	0.0	0.0	Phosphoribosyl-AMP cyclohydrolase
nodule	rxn03175	0.0	0.0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
nodule	rxn03135	0.0	0.0	imidazole glycerol phosphate
nodule	rxn02473	0.0	0.0	Imidazoleglycerol-phosphate dehydratase
nodule	rxn02320	0.0	-0.0	Histidinol-phosphate aminotransferase
nodule	rxn02160	0.0	0.0	L-Histidinol-phosphate phosphohydrolase
nodule	rxn02159	0.0	0.0	Histidinol dehydrogenase
nodule	rxn00863	0.0	0.0	Histidinal dehydrogenase
nodule	rxn01332	0.0	0.0	DAHP synthetase
nodule	rxn02212	0.0	0.0	3-dehydroquinate synthase
nodule	rxn02213	0.0	0.0	3-dehydroquinate dehydratase
nodule	rxn01740	0.0	-0.0	Shikimate 5-dehydrogenase
nodule	rxn01739	0.0	0.0	Shikimate kinase
nodule	rxn02476	0.0	0.0	3-phosphoshikimate 1-carboxyvinyltransferase
nodule	rxn01255	0.0	0.0	Chorismate synthase
nodule	rxn00726	0.0	0.0	Anthranilate synthase
nodule	rxn00791	0.0	0.0	Anthranilate phosphoribosyltransferase
nodule	rxn02508	0.0	0.0	Phosphoribosylanthranilate isomerase
nodule	rxn02507	0.0	0.0	Indole-3-glycerol phosphate synthase
nodule	rxn01964	0.0	0.0	L-serine hydrolase
nodule	rxn01256	0.0	0.0	Chorismate pyruvatemutase
nodule	rxn01000	0.0	0.0	Prephenate dehydratase
nodule	rxn00493	0.0	-0.0	Phenylalanine transaminase
nodule	rxn01269	0.0	0.0	Prephenate dehydrogenase
nodule	rxn00527	0.0	-0.0	Tyrosine transaminase
nodule	rxn05036	0.0	-0.0	Prephenate transaminase
nodule	rxn00525	0.0	0.0	L-argonate oxioreductase
nodule	rxn00278	-0.8155428571428575	-0.0	Alanine dehydrogenase
nodule	rxn00849	0.0	0.0	D-alanine transaminase
nodule	rxn00283	0.0	0.0	L-alanine racemase
nodule	rxn00737	0.0	0.0	Threonine dehydratase
nodule	rxn02302	0.2966571428571427	0.0	O-Acetyl-L-homoserine succinate-lyase
nodule	rxn03194	0.2966571428571426	0.0	(S)-2-aceto-2-hydroxybutanoate synthase
nodule	rxn03436	0.2966571428571427	0.0	(S)-2-aceto-2-hydroxybutanoate reductoisomerase reaction 1
nodule	rxn03435	-0.2966571428571426	-0.0	(S)-2-aceto-2-hydroxybutanoate reductoisomerase reaction 2
nodule	rxn03437	0.2966571428571427	0.0	(R)-2 3-dihydroxy-3-methylpentanoate dehydratase
nodule	rxn01575	0.0	-0.0	Isoleucine aminotransferase
nodule	rxn02185	0.0	-0.0	Acetolactate synthase
nodule	rxn00011b	0.2966571428571426	0.0	Acetolactone synthease   thiamine diphosphate acetaldehyde transferase
nodule	rxn02187	0.0	0.0	Acetolactate methylmutase
nodule	rxn03068	0.0	-0.0	(R)-2 3-dihydroxy-3-methylbutanoate oxidoreductase
nodule	rxn00898	0.0	0.0	2 3 Dihydroxy 3 methylbutanoate hydro lyase c0
nodule	rxn00903	0.0	-0.0	Valine aminotransferase
nodule	rxn00902	0.0	0.0	2-isopropylmalate synthase
nodule	rxn02789	0.0	0.0	2-isopropylmalate isomerase
nodule	rxn02811	0.0	-0.0	3-isopropylmalate hydrolyase
nodule	rxn03062	0.0	0.0	3-isopropylmalate dehydrogenase
nodule	rxn01208	0.0	0.0	2-oxo-4-methyl-3-carboxypentanoate decarboxylation
nodule	rxn00806	0.0	-0.0	Leucine aminotransferase
nodule	rxn06300	0.0	0.0	L-Alanyl-tRNA(Ala) synthetase
nodule	rxn06432	0.0	0.0	L-Arginyl-tRNA(Arg) synthetase
nodule	rxn06936	0.0	0.0	L-Aspartyl-tRNA(Asp) synthetase
nodule	rxn06433	0.0	0.0	L-Aspartyl-tRNA(Asn) synthetase
nodule	rxn11595	0.0	0.0	L-Aspartyl-tRNA(Asn) amidotransferase
nodule	rxn06435	0.0	0.0	L-Cysteinyl-tRNA(Cys) synthetase
nodule	rxn06436	0.0	0.0	L-Glutamyl-tRNA(Gln) synthetase
nodule	rxn10534	0.0	0.0	L-Glutamyl-tRNA(Gln) amidotransferase
nodule	rxn06438	0.0	0.0	L-Glycyl-tRNA(Gly) synthetase
nodule	rxn06440	0.0	0.0	L-Isoleucyl:tRNA(Ile) synthetase
nodule	rxn06441	0.0	0.0	L-Leucyl-tRNA(Leu) synthetase
nodule	rxn06442	0.0	0.0	L-Lysyl-tRNA(Lys) synthetase
nodule	rxn06443	0.0	0.0	L-Methionyl-tRNA(Met) synthetase
nodule	rxn06538	0.0	0.0	L-Methionyl-tRNA formyltransferase
nodule	rxn06444	0.0	0.0	L-Phenylalanyl-tRNA(Phe) synthetase
nodule	rxn06445	0.0	0.0	L-Prolyl-tRNA(Pro) synthetase
nodule	rxn06446	0.0	0.0	L-Seryl-tRNA(Ser) synthetase
nodule	rxn06447	0.0	0.0	L-Threonyl-tRNA(Thr) synthetase
nodule	rxn06448	0.0	0.0	L-Tryptophanyl-tRNA(Trp) synthetase
nodule	rxn06280	0.0	0.0	L-Tyrosyl-tRNA(Tyr) synthetase
nodule	rxn06449	0.0	0.0	L-Valyl-tRNA(Val) synthetase
nodule	rxn06937	0.0	0.0	L-Glutamyl-tRNA(Glu) synthetase
nodule	rxn06439	0.0	0.0	L-Histidyl-tRNA(His) synthetase
nodule	rxn12192	0.0	0.0	Ribosome biogenesis, tRNA modification, protein translation
nodule	rxnProtDF	0.0	0.0	Protein N-formylmethionine cleavage
