condition	reaction_id	flux	reduced_cost
nodule_max_n2	rxn00011b	0.2966571428571426	0.0
nodule_max_n2	rxn02187	0.0	0.0
nodule_max_n2	rxn03068	0.0	-0.0
nodule_max_n2	rxn00898	0.0	0.0
nodule_max_n2	rxn00903	0.0	-0.0
nodule_max_n2	rxn00902	0.0	0.0
nodule_max_n2	rxn02789	0.0	0.0
nodule_max_n2	rxn02811	0.0	-0.0
nodule_max_n2	rxn03062	0.0	0.0
nodule_max_n2	rxn01208	0.0	0.0
nodule_max_n2	rxn00806	0.0	-0.0
nodule_max_n2	rxn06300	0.0	0.0
nodule_max_n2	rxn06432	0.0	0.0
nodule_max_n2	rxn06936	0.0	0.0
nodule_max_n2	rxn06433	0.0	0.0
nodule_max_n2	rxn11595	0.0	0.0
nodule_max_n2	rxn06435	0.0	0.0
nodule_max_n2	rxn06436	0.0	0.0
nodule_max_n2	rxn10534	0.0	0.0
nodule_max_n2	rxn06438	0.0	0.0
nodule_max_n2	rxn06440	0.0	0.0
nodule_max_n2	rxn06441	0.0	0.0
nodule_max_n2	rxn06442	0.0	0.0
nodule_max_n2	rxn06443	0.0	0.0
nodule_max_n2	rxn06538	0.0	0.0
nodule_max_n2	rxn06444	0.0	0.0
nodule_max_n2	rxn06445	0.0	0.0
nodule_max_n2	rxn06446	0.0	0.0
nodule_max_n2	rxn06447	0.0	0.0
nodule_max_n2	rxn06448	0.0	0.0
nodule_max_n2	rxn06280	0.0	0.0
nodule_max_n2	rxn06449	0.0	0.0
nodule_max_n2	rxn06937	0.0	0.0
nodule_max_n2	rxn06439	0.0	0.0
nodule_max_n2	rxn12192	0.0	-3.609477738837781
nodule_max_n2	rxnProtDF	0.0	0.0
nodule_max_n2	rxn00455	0.0	0.0
nodule_max_n2	rxn00790	2.387824262566213e-16	0.0
nodule_max_n2	rxn02895	2.387824262566213e-16	0.0
nodule_max_n2	rxn03004	2.387824262566213e-16	0.0
nodule_max_n2	rxn03084	2.387824262566213e-16	0.0
nodule_max_n2	rxn02937	2.387824262566213e-16	0.0
nodule_max_n2	rxn05229	2.387824262566213e-16	0.0
nodule_max_n2	rxn03147	2.387824262566213e-16	0.0
nodule_max_n2	rxn03136	2.387824262566213e-16	0.0
nodule_max_n2	rxn03137	2.387824262566213e-16	0.0
nodule_max_n2	rxn00832	-2.387824262566213e-16	-0.0
nodule_max_n2	rxn00834	6.09535146276763e-32	0.0
nodule_max_n2	rxn00917	6.09535146276763e-32	0.0
nodule_max_n2	rxn09562	6.09535146276763e-32	0.0
nodule_max_n2	rxn00237	0.5147414285714362	0.0
nodule_max_n2	rxn05233	0.0	0.0
nodule_max_n2	rxn01353	0.0	-0.0
nodule_max_n2	rxn00838	2.387824262566212e-16	0.0
nodule_max_n2	rxn00800	2.387824262566212e-16	0.0
nodule_max_n2	rxn00097	0.0	0.0
nodule_max_n2	rxn05231	0.0	0.0
nodule_max_n2	rxn00839	0.0	0.0
nodule_max_n2	rxn00414	0.0	0.0
nodule_max_n2	rxn01018	-1.8637902415493636e-31	0.0
nodule_max_n2	rxn01465	1.8637902415493636e-31	-0.0
nodule_max_n2	rxn01360	-1.8637902415493634e-31	0.0
nodule_max_n2	rxn01362	-1.8637902415493636e-31	0.0
nodule_max_n2	rxn00710	-1.8637902415493634e-31	0.0
nodule_max_n2	rxn00119	-1.8637902415493636e-31	0.0
nodule_max_n2	rxn00117	-1.8637902415493634e-31	0.0
nodule_max_n2	rxn00412	-1.8637902415493636e-31	0.0
nodule_max_n2	rxn00409	1.0216542334443722e-15	0.0
nodule_max_n2	rxn06076	0.0	0.0
nodule_max_n2	rxn01673	0.0	0.0
nodule_max_n2	rxn01672	0.0	0.0
nodule_max_n2	rxn01678	0.0	0.0
nodule_max_n2	rxn01517	0.0	0.0
nodule_max_n2	rxn01520	0.0	0.0
nodule_max_n2	rxn01513	0.0	0.0
nodule_max_n2	rxn01512	0.0	0.0
nodule_max_n2	rxn00364	1.0216542334443722e-15	0.0
nodule_max_n2	rxn05294	0.0	0.0
nodule_max_n2	rxn13784	0.0	0.0
nodule_max_n2	rxn00792	0.0	-0.0
nodule_max_n2	rxn06864	0.0	0.0
nodule_max_n2	rxn06672	0.0	-0.0
nodule_max_n2	rxn06673	0.0	-0.0
nodule_max_n2	rxn05465	1.621467433899562e-14	0.0
nodule_max_n2	rxn08766	2.0433084668887436e-15	0.0
nodule_max_n2	rxn05339	-2.0433084668887436e-15	-0.0
nodule_max_n2	rxn05329	2.0433084668887436e-15	0.0
nodule_max_n2	rxn05322	2.043308466888743e-15	0.0
nodule_max_n2	rxn05346	2.0433084668887428e-15	0.0
nodule_max_n2	rxn05337	-2.0433084668887428e-15	-0.0
nodule_max_n2	rxn05330	2.0433084668887428e-15	0.0
nodule_max_n2	rxn05326	2.0433084668887428e-15	0.0
nodule_max_n2	rxn05350	2.0433084668887428e-15	0.0
nodule_max_n2	rxn05341	-2.0433084668887428e-15	-0.0
nodule_max_n2	rxn05334	2.0433084668887428e-15	0.0
